,Unnamed: 0,Unnamed: 0.1,Alcohol,Appellation,Bottlesize,Category,Points,Price,Review,Url,Variety,Wine,Winery,Unnamed: 0.1.1,Unnamed: 0.1.1.1
0,0,0.0,14.9%,"Russian River Valley, Sonoma, California, US",750 ml,Red,87,"$42,  Buy Now","Baked plum, licorice and lavender aromas and flavors define this jammy wine, which takes on a sweetness of oak. Thick on the midpalate, it has substantial weight from the tannins and powerfully ripe fruit.",https://www.winemag.com/buying-guide/v-sattui-2015-gilsson-vineyard-old-vine-zinfandel-russian-river-valley/,Zinfandel,V. Sattui 2015 Gilsson Vineyard Old Vine Zinfandel (Russian River Valley),V. Sattui,,
1,1,1.0,14.5%,"Central Coast, Central Coast, California, US",750 ml,Red,87,"$19.98,  Buy Now",Pomegranate and light baking-spice aromas show on the mellow nose of this bottling. The palate is clean with fruit punch and spice-cake flavors wrapped in a fairly mellow texture.,https://www.winemag.com/buying-guide/wente-2014-coastal-selection-pinot-noir-central-coast-303879/,Pinot Noir,Wente 2014 Coastal Selection Pinot Noir (Central Coast),Wente,,
2,2,2.0,13.8%,California Republic,750 ml,Red,86,"$15,  Buy Now","Butter and vanilla notes dominate the jammy fruit flavors in this rich and seemingly sweet wine. It is medium bodied, lightly tannic and heavily influenced by oaky aromas and flavors, including baking spices and maple syrup.",https://www.winemag.com/buying-guide/california-republic-2016-cabernet-sauvignon-california/,California,California Republic 2016 Cabernet Sauvignon (California),California Republic,,
3,3,3.0,13.8%,"Lodi, Central Valley, California, US",750 ml,Red,86,"$10,  Buy Now",An aroma like toasted almonds and wood smoke meets spiced plum and red-cherry flavors in this medium-bodied wine. It's an oaky version that maintains pretty good balance.,https://www.winemag.com/buying-guide/collier-creek-2015-red-wagon-pinot-noir-lodi/,Pinot Noir,Collier Creek 2015 Red Wagon Pinot Noir (Lodi),Collier Creek,,
4,4,4.0,13%,"New Jersey, US",750 ml,Red,86,"$27,  Buy Now","Plum skin and pomegranate lead the nose while white pepper and raw oak take on an earthy edge. The soft-bodied palate is awash in silky tannins, with intense flavors of vanilla, oak and green tobacco leaf over black cherry and plum. There is a spicy kick on the finish, with more vanilla and baked black plum.",https://www.winemag.com/buying-guide/diluca-2016-rosso-black-label-red/,Red Blend,DiLuca 2016 Rosso Black Label Red,DiLuca,,
5,5,5.0,14.7%,"Green Valley, Sonoma, California, US",750 ml,Red,86,"$65,  Buy Now",This is a big ripe red wine moderate in structure that offers fleshy mouthfuls of cola and black cherry.,https://www.winemag.com/buying-guide/dutton-estate-2016-thomas-road-pinot-noir-green-valley/,Pinot Noir,Dutton Estate 2016 Thomas Road Pinot Noir (Green Valley),Dutton Estate,,
6,6,6.0,13.8%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red,86,"$30,  Buy Now","This wine is a blend of 48% Cabernet Sauvignon and 38% Merlot, with the balance Malbec and Petit Verdot. Aromas of mushroom, dried herb, wet gravel, spice and cherry lead to ripe cherry and soy flavors. The palate brings a sense of elegance and appeal.",https://www.winemag.com/buying-guide/gordon-estate-2014-estate-grown-traditions-red-columbia-valley-wa-304181/,Bordeaux-style Red Blend,Gordon Estate 2014 Estate Grown Traditions Red (Columbia Valley (WA)),Gordon Estate,,
7,7,7.0,13.5%,K Squared Cellars,750 ml,White,86,"$24,  Buy Now","Honey-dipped pineapple and guava, with a touch of fig give this wine a fruity midpalate. This has a moderate structure and a lingering note of anise.",https://www.winemag.com/buying-guide/k-squared-cellars-2017-sauvignon-blanc-sonoma-county/,Sonoma County,K Squared Cellars 2017 Sauvignon Blanc (Sonoma County),K Squared Cellars,,
8,8,8.0,14.5%,"Sonoma Valley, Sonoma, California, US",750 ml,White,86,"$30,  Buy Now","Thick and oaky, this estate wine evokes caramel and pineapple-upside-down cake—its texture lushly unctuous and rich.",https://www.winemag.com/buying-guide/kunde-2016-c-s-ridge-estate-grown-chardonnay-sonoma-valley/,Chardonnay,Kunde 2016 C.S. Ridge Estate Grown Chardonnay (Sonoma Valley),Kunde,,
9,9,9.0,14.2%,"Russian River Valley, Sonoma, California, US",750 ml,Red,86,"$45,  Buy Now","With an ashy undercurrent of char and smoke, this wine offers medium-bodied layers of dried cherry and leather, finishing with a lasting note of black pepper.",https://www.winemag.com/buying-guide/mengler-family-wines-2016-alegria-vineyards-sangiovese-russian-river-valley-303574/,Sangiovese,Mengler Family Wines 2016 Alegria Vineyards Sangiovese (Russian River Valley),Mengler Family Wines,,
