,Alcohol,Appellation,Category,Points,Price,Review,Wine,Winery,Year,Variety,State
0,14.9,"Russian River Valley, Sonoma, California, US",Red,87,42.0,"Baked plum, licorice and lavender aromas and flavors define this jammy wine, which takes on a sweetness of oak. Thick on the midpalate, it has substantial weight from the tannins and powerfully ripe fruit.",V. Sattui 2015 Gilsson Vineyard Old Vine Zinfandel (Russian River Valley),V. Sattui,2015.0,Zinfandel,California
1,14.5,"Central Coast, Central Coast, California, US",Red,87,19.98,Pomegranate and light baking-spice aromas show on the mellow nose of this bottling. The palate is clean with fruit punch and spice-cake flavors wrapped in a fairly mellow texture.,Wente 2014 Coastal Selection Pinot Noir (Central Coast),Wente,2014.0,Pinot Noir,California
2,13.8,California Republic,Red,86,15.0,"Butter and vanilla notes dominate the jammy fruit flavors in this rich and seemingly sweet wine. It is medium bodied, lightly tannic and heavily influenced by oaky aromas and flavors, including baking spices and maple syrup.",California Republic 2016 Cabernet Sauvignon (California),California Republic,2016.0,Cabernet Sauvignon,California
3,13.8,"Lodi, Central Valley, California, US",Red,86,10.0,An aroma like toasted almonds and wood smoke meets spiced plum and red-cherry flavors in this medium-bodied wine. It's an oaky version that maintains pretty good balance.,Collier Creek 2015 Red Wagon Pinot Noir (Lodi),Collier Creek,2015.0,Pinot Noir,California
4,13.0,"New Jersey, US",Red,86,27.0,"Plum skin and pomegranate lead the nose while white pepper and raw oak take on an earthy edge. The soft-bodied palate is awash in silky tannins, with intense flavors of vanilla, oak and green tobacco leaf over black cherry and plum. There is a spicy kick on the finish, with more vanilla and baked black plum.",DiLuca 2016 Rosso Black Label Red,DiLuca,2016.0,Red Blend,
5,14.7,"Green Valley, Sonoma, California, US",Red,86,65.0,This is a big ripe red wine moderate in structure that offers fleshy mouthfuls of cola and black cherry.,Dutton Estate 2016 Thomas Road Pinot Noir (Green Valley),Dutton Estate,2016.0,Pinot Noir,California
6,13.8,"Columbia Valley (WA), Columbia Valley, Washington, US",Red,86,30.0,"This wine is a blend of 48% Cabernet Sauvignon and 38% Merlot, with the balance Malbec and Petit Verdot. Aromas of mushroom, dried herb, wet gravel, spice and cherry lead to ripe cherry and soy flavors. The palate brings a sense of elegance and appeal.",Gordon Estate 2014 Estate Grown Traditions Red (Columbia Valley (WA)),Gordon Estate,2014.0,Red Blend,Washington
7,13.5,K Squared Cellars,White,86,24.0,"Honey-dipped pineapple and guava, with a touch of fig give this wine a fruity midpalate. This has a moderate structure and a lingering note of anise.",K Squared Cellars 2017 Sauvignon Blanc (Sonoma County),K Squared Cellars,2017.0,Sauvignon Blanc,
8,14.5,"Sonoma Valley, Sonoma, California, US",White,86,30.0,"Thick and oaky, this estate wine evokes caramel and pineapple-upside-down cake—its texture lushly unctuous and rich.",Kunde 2016 C.S. Ridge Estate Grown Chardonnay (Sonoma Valley),Kunde,2016.0,Chardonnay,California
9,14.2,"Russian River Valley, Sonoma, California, US",Red,86,45.0,"With an ashy undercurrent of char and smoke, this wine offers medium-bodied layers of dried cherry and leather, finishing with a lasting note of black pepper.",Mengler Family Wines 2016 Alegria Vineyards Sangiovese (Russian River Valley),Mengler Family Wines,2016.0,Sangiovese,California
10,14.7,Bravante,Red,86,75.0,"Dusty with highlights of cedar and sage, this full-bodied wine presents as somewhat dull on the palate—a soft, rounded and approachable expression of jammy blueberry.",Bravante 2013 Cabernet Franc (Howell Mountain),Bravante,2013.0,Cabernet Franc,
11,13.5,Esser,White,86,14.0,Yellow apple and sweet oak aromas make for a pleasant if not particularly complex aromatic entry to this bottling. Ripe apple and pear meet with sweet buttercream on the palate.,Esser 2016 Chardonnay (Monterey County),Esser,2016.0,Chardonnay,
12,14.7,"Stags Leap District, Napa, California, US",Red,86,22.0,"This is a full-bodied, boldly ripe Cabernet Sauvignon. Soft layers of dark cherry and plum are well integrated and contrasted against dusty crushed rock and toasted oak.",Kirkland Signature 2015 Signature Series Cabernet Sauvignon (Stags Leap District),Kirkland Signature,2015.0,Cabernet Sauvignon,California
13,13.5,"Texas, Texas, US",Red,86,25.0,"Aromas of ripe blueberry and blackberry mingle with vanilla and pumpkin spice on the nose. The fruit forward palate shows plum and cranberry backed by dried leaves, nutmeg and vanilla. The tannins are dusty yet structured, while the acidity is tied to the berry flavors and weaves in and out. It finishes with a tart berry flavor loaded with cracked pepper and earthy.",Messina Hof 2015 Private Reserve Double Barrel Merlot (Texas),Messina Hof,2015.0,Merlot,
14,15.5,"Sonoma County, Sonoma, California, US",Red,86,21.0,Brawny fruit is overwhelmed by smoke and charred oak in this thickly tannic wine that has a jammy core of blackberry and marshmallow flavor.,Murphy-Goode 2014 Liar's Dice Zinfandel (Sonoma County),Murphy-Goode,2014.0,Zinfandel,California
15,13.0,"California, California Other, California, US",White,86,9.0,"Pear, butter and vanilla aromas lead to a soft, rich texture and tasty fruit flavors. The wine is medium in weight, low in acidity and easy on the palate.",Oak Grove 2017 Family Reserve Chardonnay (California),Oak Grove,2017.0,Chardonnay,California
16,13.7,Old Soul,Red,86,15.0,"This is an easygoing, fruity wine that shows sweet-oak aromas, a soft texture and candy-like flavors of cherries and raspberries. The body is medium, tannins are light and it finishes with a sense of sweetness.",Old Soul 2016 Cabernet Sauvignon (California),Old Soul,2016.0,Cabernet Sauvignon,
17,15.1,"Napa Valley, Napa, California, US",Red,86,85.0,This has a wealth of cherry cola flavor that brushes up against varietal black currant and cedar. It takes on a lush brawny ripeness that overwhelms and opts for fruit flavor over structure.,Raymond 2015 LVE Cabernet Sauvignon (Napa Valley),Raymond,2015.0,Cabernet Sauvignon,California
18,15.1,"Russian River Valley, Sonoma, California, US",Red,86,45.0,"Floral and quite cherry-berry in fruity flavor, this wine has mild structure and generous tannin, with a midpalate bursting in earthy oak.",V. Sattui 2015 Battaglini Vineyard Ancient Vine Zinfandel (Russian River Valley),V. Sattui,2015.0,Zinfandel,California
