USA/CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH COAST (CABERNET SAUVIGNON),NT,98T,97E,93R,98T,96E,78I,95T,94T,94T,96E,91E,95T,91R,92I,95E,96T,78C,88T,85R,94I,90T,94T,95E,90E,93R,94T,94E,84E,75E,90E,90R,90T,92R,76C,86R,85R,87R,80R,92R,90T,85R,70C,92R
NORTH COAST (CHARDONNAY),NT,94E,96E,94R,93R,94E,88I,91E,90R,88I,92R,87I,94E,92R,91R,90R,90C,87C,89R,89R,92C,87C,92C,88C,90C,92C,85C,90C,76C,89C,75C,90C,84C,88C,85C,85C,86C,88C,83C,86C,80C,86C,82C,83C
NORTH COAST (ZINFANDEL),NT,93R,90I,93R,92R,92R,74I,90R,85I,78I,88R,79I,78I,82I,93R,85R,90R,83C,87R,86C,85E,89C,87R,92C,90C,90C,91C,91C,83C,82C,90C,87C,88C,88R,78C,80C,82C,82C,83C,86C,87C,80C,60C,89C
NORTH COAST (PINOT NOIR),NT,91R,87I,94R,90R,93R,84I,91R,90R,86I,90I,87I,90E,89I,90R,92E,92E,88R,90E,89R,90E,88R,88R,92R,88R,88R,86R,86R,85C,87C,86C,84C,86C,85R,85C,84C,83C,85C,80C,84C,NT,NT,NT,NT
CENTRAL COAST: PASO ROBLES,NT,NT,NT,93E,94R,90E,88E,92T,87R,88I,94E,92E,92R,94R,92E,93E,89R,92R,88R,90R,90R,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
USA/OREGON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLAMETTE VALLEY PINOT NOIR,NT,93R,NT,93T,87R,92R,90R,88I,86R,94T,84T,91E,85T,86E,88E,92I,86E,85E,92E,89T,87C,83C,76C,92R,89R,88R,87C,90C,86C,88C,72C,85C,87C,65C,90C,84C,86C,86C,NT,NT,NT,NT,NT,NT
USA/WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABERNET SAUVIGNON/SYRAH,NT,NT,NT,94T,92T,95T,87E,92T,92T,91T,95R,91R,94R,91R,90R,89R,92R,89R,90T,90T,88T,88T,87R,90R,87R,89R,85C,87R,92R,88R,90R,78R,86R,72C,92R,78C,NT,NT,NT,NT,NT,NT,NT,N
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,92E,96I,91I,92E,95E,91R,94R,92R,90R,91R,92R,94R,93R,91R,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,N
